DNA_Tube	specimenID	speciesID	speciesIDTribe	sex	Assembly.status
AUC4	S_AUC4	Varmoo	Lamprologini	M	done
JXG8	S_JXG8	Lamkun	Lamprologini	M	done
JXH2	S_JXH2	Lamkun	Lamprologini	F	done
IQA3	S_IQA3	Neocau	Lamprologini	M	done
JEI6	S_JEI6	Neofur	Lamprologini	M	done
JEI8	S_JEI8	Neofur	Lamprologini	F	done
GPH1	S_GPH1	Neocyl	Lamprologini	M	done
A108	S_A108	Neonve	Lamprologini	F	done
A188	S_A188	Neospl	Lamprologini	M	done
Bel07	S_Bel07	Chapop	Lamprologini	M	done
Bel09	S_Bel09	Chapop	Lamprologini	F	done
Bel13	S_Bel13	Neohec	Lamprologini	NA	done
Bel14	S_Bel14	Neohec	Lamprologini	NA	done
HXC8	S_HXC8	Telluf	Lamprologini	M	done
ILA7	S_ILA7	Neocal	Lamprologini	M	done
ILB4	S_ILB4	Neomux	Lamprologini	F	done
ILD9	S_ILD9	Julkom	Lamprologini	M	done
ILE5	S_ILE5	Neokom	Lamprologini	M	done
ILE6	S_ILE6	Neokom	Lamprologini	F	done
ILH1	S_ILH1	Neomux	Lamprologini	M	done
IMA1	S_IMA1	Neoobs	Lamprologini	F	done
IMA2	S_IMA2	Neoobs	Lamprologini	M	done
IMD2	S_IMD2	Lepken	Lamprologini	F	done
INA6	S_INA6	Julkom	Lamprologini	F	done
INC7	S_INC7	Neocal	Lamprologini	F	done
IND7	S_IND7	Neosex	Lamprologini	M	done
IND8	S_IND8	Neosex	Lamprologini	F	done
IOE3	S_IOE3	Altcal	Lamprologini	F	done
IOH4	S_IOH4	Lepcun	Lamprologini	F	done
IOE2	S_IOE2	Altcal	Lamprologini	M	done
IPD6	S_IPD6	Lamlem	Lamprologini	F	done
IPH2	S_IPH2	Lamcal	Lamprologini	M	done
IRH2	S_IRH2	Altshe	Lamprologini	M	done
IRH4	S_IRH4	Altshe	Lamprologini	F	done
IRI8	S_IRI8	Telshe	Lamprologini	M	done
IRI9	S_IRI9	Telshe	Lamprologini	F	done
ITG2	S_ITG2	Neochr	Lamprologini	F	done
IVE8	S_IVE8	Neocra	Lamprologini	M	done
IVF1	S_IVF1	Neocra	Lamprologini	F	done
IVH1	S_IVH1	Neopro	Lamprologini	M	done
IVH2	S_IVH2	Neopro	Lamprologini	F	done
IWD5	S_IWD5	Lamsig	Lamprologini	M	done
IZI7	S_IZI7	Lamlem	Lamprologini	M	done
IZI8	S_IZI8	Neochr	Lamprologini	M	done
JAB1	S_JAB1	Lamcal	Lamprologini	F	done
JBE8	S_JBE8	Telbra	Lamprologini	M	done
JBE9	S_JBE9	Telbra	Lamprologini	F	done
JDF3	S_JDF3	Neomee	Lamprologini	M	done
JDF5	S_JDF5	LamorS	Lamprologini	M	done
JDG4	S_JDG4	LamorS	Lamprologini	F	done
JDI1	S_JDI1	Neolap	Lamprologini	F	done
JED4	S_JED4	NeoveS	Lamprologini	M	done
JUD4	S_JUD4	TeldhN	Lamprologini	M	done
JUI1	S_JUI1	Neobri	Lamprologini	M	done
JVB4	S_JVB4	Neomon	Lamprologini	M	done
JVB8	S_JVB8	Neomon	Lamprologini	F	done
JVI9	S_JVI9	Telbri	Lamprologini	M	done
JWA3	S_JWA3	LamorC	Lamprologini	M	done
JWA4	S_JWA4	LamorC	Lamprologini	F	done
JWA8	S_JWA8	Lammel	Lamprologini	M	done
JWC8	S_JWC8	Tellan	Lamprologini	M	done
JWG8	S_JWG8	Neohel	Lamprologini	F	done
JWI2	S_JWI2	Neolon	Lamprologini	M	done
JWI3	S_JWI3	Neolon	Lamprologini	F	done
JXA4	S_JXA4	Telbri	Lamprologini	F	done
JXB5	S_JXB5	JulmaN	Lamprologini	M	done
JXC1	S_JXC1	JulmaN	Lamprologini	F	done
JXD4	S_JXD4	Neofal	Lamprologini	M	done
JXD7	S_JXD7	Neofal	Lamprologini	F	done
JZF1	S_JZF1	Neople	Lamprologini	M	done
KCE5	S_KCE5	Neobou	Lamprologini	F	done
KCI7	S_KCI7	NeobrM	Lamprologini	F	done
KEC2	S_KEC2	Neosim	Lamprologini	F	done
KEE9	S_KEE9	Chando	Lamprologini	M	done
KFF4	S_KFF4	JulreK	Lamprologini	F	done
KFH4	S_KFH4	Neotre	Lamprologini	M	done
KFH5	S_KFH5	Neotre	Lamprologini	F	done
KHA7	S_KHA7	Neochi	Lamprologini	M	done
KHA9	S_KHA9	Neochi	Lamprologini	F	done
KHE6	S_KHE6	JulreK	Lamprologini	M	done
KYB8	S_KYB8	Telbif	Lamprologini	F	done
KYB9	S_KYB9	Neobou	Lamprologini	M	done
LBA1	S_LBA1	JulmaS	Lamprologini	F	done
LBF3	S_LBF3	JulmaS	Lamprologini	M	done
LCA1	S_LCA1	Neolou	Lamprologini	M	done
LCA2	S_LCA2	Neolou	Lamprologini	F	done
LCB4	S_LCB4	NeogrM	Lamprologini	M	done
LCB5	S_LCB5	NeofaM	Lamprologini	F	done
LCC2	S_LCC2	NeofaM	Lamprologini	M	done
LCC6	S_LCC6	NeogrM	Lamprologini	F	done
LDD1	S_LDD1	Lepmim	Lamprologini	M	done
LDD6	S_LDD6	Lepmim	Lamprologini	F	done
LDD9	S_LDD9	Chabif	Lamprologini	F	done
LDE1	S_LDE1	Chabif	Lamprologini	M	done
LDF4	S_LDF4	NeofuU	Lamprologini	F	done
LDF5	S_LDF5	NeofuU	Lamprologini	M	done
LDG2	S_LDG2	NeocaK	Lamprologini	M	done
A142	S_A142	Neohec	Lamprologini	M	done
HFG1287	S_HFG1287	Jultra	Lamprologini	M	done
IMD1	S_IMD1	Lepken	Lamprologini	M	done
IOH5	S_IOH5	Lepcun	Lamprologini	M	done
IWD6	S_IWD6	Lamsig	Lamprologini	F	done
JDF4	S_JDF4	Neomee	Lamprologini	F	done
JDI2	S_JDI2	Neolap	Lamprologini	M	done
JUD5	S_JUD5	TeldhN	Lamprologini	F	done
JUH9	S_JUH9	Neobri	Lamprologini	F	done
JWA1	S_JWA1	Julunt	Lamprologini	M	done
JWA2	S_JWA2	Julunt	Lamprologini	F	done
JWA7	S_JWA7	Neopec	Lamprologini	M	done
JWA9	S_JWA9	Lammel	Lamprologini	F	done
JWC9	S_JWC9	Tellan	Lamprologini	F	done
JWF6	S_JWF6	Lamtig	Lamprologini	F	done
JWG9	S_JWG9	Neohel	Lamprologini	M	done
JWH1	S_JWH1	Neogra	Lamprologini	F	done
JWH2	S_JWH2	Neogra	Lamprologini	M	done
JWH3	S_JWH3	Neomar	Lamprologini	M	done
JWH4	S_JWH4	Neomar	Lamprologini	F	done
JWH5	S_JWH5	Neooli	Lamprologini	F	done
JWH6	S_JWH6	Neooli	Lamprologini	M	done
JWH9	S_JWH9	NeoleL	Lamprologini	NA	done
JWI6	S_JWI6	Neopec	Lamprologini	F	done
JZF2	S_JZF2	Neople	Lamprologini	F	done
JZF3	S_JZF3	Lamorn	Lamprologini	M	done
JZF4	S_JZF4	Lamorn	Lamprologini	F	done
KAD2	S_KAD2	Leppro	Lamprologini	M	done
KAG7	S_KAG7	NeoveB	Lamprologini	M	done
JWA5	S_JWA5	Neovar	Lamprologini	M	done
JWA6	S_JWA6	Neovar	Lamprologini	F	done
ITA4	S_ITA4	Gnaper	Limnochromini	F	done
ITB1	S_ITB1	Lchaur	Limnochromini	F	done
ITB3	S_ITB3	Gwcabe	Limnochromini	F	done
ITB4	S_ITB4	Gwcabe	Limnochromini	M	done
ITC2	S_ITC2	Gwcsta	Limnochromini	M	done
IUI1	S_IUI1	Regcal	Limnochromini	M	done
IUI4	S_IUI4	Regcal	Limnochromini	F	done
IUI5	S_IUI5	Gnaper	Limnochromini	M	done
IXB6	S_IXB6	Gwcbel	Limnochromini	M	done
IZE4	S_IZE4	Gwcchr	Limnochromini	M	done
IZF1	S_IZF1	Gwcchr	Limnochromini	F	done
JAB7	S_JAB7	Baicen	Limnochromini	M	done
JAE9	S_JAE9	Baicen	Limnochromini	F	done
JAF5	S_JAF5	Lchaur	Limnochromini	M	done
JEG5	S_JEG5	Trioto	Limnochromini	F	done
JEG6	S_JEG6	Trioto	Limnochromini	M	done
LJA7	S_LJA7	Tchdha	Limnochromini	M	done
ITA6	S_ITA6	Gwcsta	Limnochromini	F	done
IXB5	S_IXB5	Gwcbel	Limnochromini	F	done
LJA8	S_LJA8	Tchdha	Limnochromini	F	done
KYH4	S_KYH4	Oremal	Oreochromini	F	done
JAB6	S_JAB5	Oretan	Oreochromini	M	done
JAC7	S_JAC6	Oretan	Oreochromini	F	done
JWD5	S_JWD5	Parpol	Paratilapini	M	done
JWF2	S_JWF2	Pelmar	Pelmatolapini	Juvenile	done
IQB6	S_IQB6	Hapmic	Perissodini	F	done
IQC4	S_IQC4	Permic	Perissodini	M	done
IQI4	S_IQI4	Permic	Perissodini	F	done
LEC7	S_LEC7	Plepar	Perissodini	F	done
INE9	S_INE9	Plestr	Perissodini	M	done
IQB8	S_IQB8	Hapmic	Perissodini	M	done
JDI4	S_JDI4	Plepar	Perissodini	M	done
INE8	S_INE8	Plestr	Perissodini	F	done
IUI7	S_IUI7	Xchhec	Perissodini	M	done
IXA4	S_IXA4	Perecc	Perissodini	M	done
IZA8	S_IZA8	Plemul	Perissodini	F	done
IZA9	S_IZA9	Plemul	Perissodini	M	done
JAH7	S_JAH7	Xchhec	Perissodini	F	done
LHI4	S_LHI4	Pleela	Perissodini	M	done
LHI6	S_LHI6	Pleela	Perissodini	F	done
IZB2	S_IZB2	Perecc	Perissodini	M	done
FPO1	S_FPO1	Ptyoli	Ptychochromini	M	done
JWF3	S_JWF3	Phaacu	Serranochromini	M	done
JWF5	S_JWF5	Sermac	Serranochromini	M	done
JWE8	S_JWE8	Steult	Steatocranini	M	done
JWF7	S_JWF7	Tilspa	Tilapiini	M	done
GPA1	S_GPA1	Trenig	Trematocarini	F	done
ISA1	S_ISA1	Tremar	Trematocarini	M	done
ISA3	S_ISA3	Tremar	Trematocarini	F	done
IUE5	S_IUE5	Trenig	Trematocarini	M	done
IXA3	S_IXA3	Treuni	Trematocarini	M	done
IXA6	S_IXA6	Treuni	Trematocarini	F	done
Bel33	S_Bel33	Trevar	Trematocarini	F	done
IZE1	S_IZE1	Tresti	Trematocarini	M	done
LFC9	S_LFC9	Trezeb	Trematocarini	M	done
LFE4	S_LFE4	Trezeb	Trematocarini	F	done
LJC8	S_LJC8	Trecap	Trematocarini	NA	done
IUD8	S_IUD8	Tremac	Trematocarini	M	done
IUD9	S_IUD9	Tremac	Trematocarini	F	done
IUE7	S_IUE7	Tresti	Trematocarini	M	done
AVA8	S_AVA8	Ctehor	Tropheini	M	done
AXA7	S_AXA7	Ctehor	Tropheini	F	done
AWB7	S_AWB7	Gnapfe	Tropheini	M	done
AWE2	S_AWE2	Gnapfe	Tropheini	F	done
IPB6	S_IPB6	Intloo	Tropheini	F	done
IPF3	S_IPF3	Intloo	Tropheini	M	done
ISD8	S_ISD8	Loblab	Tropheini	M	done
ISE5	S_ISE5	Loblab	Tropheini	F	done
IPC1	S_IPC1	Peteph	Tropheini	F	done
IYA5	S_IYA5	Peteph	Tropheini	M	done
IYA6	S_IYA6	Petfam	Tropheini	F	done
IYA7	S_IYA7	Petfam	Tropheini	M	done
GPH7	S_GPH7	Petfas	Tropheini	M	done
JAE1	S_JAE1	Petfas	Tropheini	F	done
LDA4	S_LDA4	Petmac	Tropheini	M	done
LJB1	S_LJB1	Petmac	Tropheini	F	done
AUB6	S_AUB6	Simple	Tropheini	M	done
AVB6	S_AVB6	Simple	Tropheini	F	done
JUA3	S_JUA3	Simbab	Tropheini	M	done
JUA4	S_JUA4	Simbab	Tropheini	F	done
AUD8	S_AUD8	Simdia	Tropheini	F	done
AUE1	S_AUE1	Simdia	Tropheini	M	done
JBH4	S_JBH4	Tromoo	Tropheini	M	done
JBH5	S_JBH5	Tromoo	Tropheini	F	done
JVC3	S_JVC3	Tronig	Tropheini	F	done
JVC9	S_JVC9	Tronig	Tropheini	M	done
AWB9	S_AWB9	Petpol	Tropheini	M	done
AWI4	S_AWI4	Petpol	Tropheini	F	done
AWI5	S_AWI5	Limdar	Tropheini	F	done
AWI6	S_AWI6	Limdar	Tropheini	M	done
AXF8	S_AXF8	Psccur	Tropheini	F	done
IOD9	S_IOD9	Trored	Tropheini	M	done
IOE1	S_IOE1	Trored	Tropheini	F	done
IWB5	S_IWB5	Pethor	Tropheini	M	done
IWB6	S_IWB6	Pethor	Tropheini	F	done
IWD4	S_IWD4	Pettre	Tropheini	F	done
JWG5	S_JWG5	Troann	Tropheini	F	done
JXH4	S_JXH4	Petort	Tropheini	F	done
JYI8	S_JYI8	Trobri	Tropheini	M	done
JZA3	S_JZA3	Trobri	Tropheini	F	done
KED6	S_KED6	Trolun	Tropheini	M	done
KED7	S_KED7	Trolun	Tropheini	F	done
KEF3	S_KEF3	Troluk	Tropheini	F	done
KFE8	S_KFE8	Simmrg	Tropheini	M	done
KFF1	S_KFF1	Simmrg	Tropheini	F	missing
