Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Cyafur	Cyathopharynx furcifer	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8570
Cypcol	Cyprichromis coloratus	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	http://www.fishbase.org/summary/62729
Cypdwj	"Cyprichromis sp. ""dwarf jumbo"""	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	NA
Cypkan	"Cyprichromis sp. ""Kanfonki"""	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	NA
Cphfro	"Cyphotilapia frontosa ""Kigoma"""	Cyphotilapiini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8572
Cphfro  Kabogo	"Cyphotilapia frontosa ""Kabogo"""	Cyphotilapiini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8572
Cphgib	Cyphotilapia gibberosa	Cyphotilapiini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/61777
Cteben	Ctenochromis benthicola	Cyphotilapiini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6697
Cyplep	Cyprichromis leptosoma	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8573
Cypmic	Cyprichromis microlepidotus	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8574
Cyppav	Cyprichromis pavo	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	http://www.fishbase.org/summary/60278
Cypzon	Cyprichromis zonatus	Cyprichromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/60277
Ectdes	Ectodus descampsii	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8575
EctspN	Ectodus sp. North	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	NA
Enamel	Enantiopus melanogenys	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8576
Erecya	Eretmodus cyanostictus	Eretmodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8577
Eremar	Eretmodus marksmithi	Eretmodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/66753
Etingu	Etia nguti	Etini	Cameroon	Substrate spawning	open spawning	http://www.fishbase.se/summary/61414
Etrcan	Etroplus canarensis	Etroplini	India	Substrate spawning	open spawning	http://www.fishbase.se/summary/25222
Gnaper	Gnathochromis permaxillaris	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8578
Gnapfe	Gnathochromis pfefferi	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8579
Gobeth	Gobiocichla ethelwynae	Gobiocichlini	Cameroon	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8580
Gralem	Grammatotria lemairii	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8582
Gwcabe	Greenwoodochromis abeelei	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8635
Gwcbel	Greenwoodochromis bellcrossi	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.se/summary/8583
Gwcchr	Greenwoodochromis christyi	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8584
Gwcsta	Greenwoodochromis staneri	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8637
Hapmic	Haplotaxodon microlepis	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8597
Hchelo	Hemichromis elongatus	Hemichromini	Cameroon	Substrate spawning	open spawning	http://www.fishbase.org/summary/59782
Hemste	Hemibates stenosoma	Bathybatini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8598
HemstZ	Hemibates stenosoma Zambia	Bathybatini	Lake Tanganyika	Mouthbrooding	NA	NA
Hetbut	Heterotilapia buttikofferi	Heterotilapini	Western Africa	Substrate spawning	open spawning	http://www.fishbase.se/summary/8902
Hplsp.A	"Haplochromis sp. ""MalagarasiA"""	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	NA
Hplsp.B	"Haplochromis sp. ""MalagarasiB"""	Haplochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	NA
Hplsp.C	"Haplochromis sp. ""Cohoha"""	Haplochromini	Lake Cohoha	Mouthbrooding	maternal territorial brooding	NA
Hplsp.D	"Haplochromis sp. ""Cohoha predator"""	Haplochromini	Lake Cohoha	Mouthbrooding	maternal territorial brooding	NA
HplspC	Haplochromis sp. Chipwa	Haplochromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Hplsta	Haplochromis stappersii	Haplochromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6855
Hplvan	Haplochromis vanheusdeni	Haplochromini	Ruaha River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/6880
Htcmul	Heterochromis multidens	Heterochromini		Substrate spawning	open spawning	http://www.fishbase.se/summary/6885
Intloo	Interochromis loocki	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8857
Jul sp. Kazia	"Julidochromis sp. ""Kazia"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Juldic	Julidochromis dickfeldi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8607
Julkom	"Julidochromis sp. ""Kombe"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
JulmaN	Julidochromis marlieri North	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8608
