sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
JYH7	59265041	4259671	41116665	55005370	18148376	0.32993825875546334
JYI8	59265041	2170082	30812920	57094959	28452121	0.49832982628116085
JZA3	59265041	2520160	31598017	56744881	27667024	0.48756863196170946
JZB7	59265041	5831439	47739631	53433602	11525410	0.21569592107977298
JZD3	59265041	2022427	21393337	57242614	37871704	0.6615998353953577
JZD5	59265041	2233933	28383673	57031108	30881368	0.5414828693140593
JZD6	59265041	1898264	23220590	57366777	36044451	0.6283157758714596
JZE2	59265041	3320554	31732510	55944487	27532531	0.4921401996232444
JZE4	59265041	1805715	8953582	57459326	50311459	0.8756012731510286
JZE6	59265041	2364843	29143328	56900198	30121713	0.5293779997039729
JZE8	59265041	2837174	33634303	56427867	25630738	0.4542212804180601
JZF1	59265041	2477831	31254616	56787210	28010425	0.49325235383108273
JZF2	59265041	1204246	8332347	58060795	50932694	0.8772303927288629
JZF3	59265041	1069665	8198764	58195376	51066277	0.8774971571624522
JZF4	59265041	1250406	12884273	58014635	46380768	0.799466686293898
KAD2	59265041	2290930	29332880	56974111	29932161	0.5253642483337739
KAE8	59265041	4267412	42461180	54997629	16803861	0.305537916916382
KAF1	59265041	3578510	37515982	55686531	21749059	0.3905622887516552
KAF2	59265041	1624835	11372482	57640206	47892559	0.8308880610176862
KAF3	59265041	3546592	35573772	55718449	23691269	0.4251961320746742
KAF4	59265041	3466705	35208741	55798336	24056300	0.431129344072196
KAF5	59265041	2300410	27856881	56964631	31408160	0.5513624761301447
KAF6	59265041	1873734	21908731	57391307	37356310	0.6509053714354336
KAG3	59265041	1067983	20515085	58197058	38749956	0.6658404622446722
KAG7	59265041	1025024	8005091	58240017	51259950	0.880149983472704
KAG8	59265041	980834	6903268	58284207	52361773	0.898386985002644
KCE5	59265041	3986662	41949803	55278379	17315238	0.31323707954605545
KCE7	59265041	1575965	19122243	57689076	40142798	0.6958474772589528
KCF3	59265041	1137202	7017105	58127839	52247936	0.898845319193786
KCG2	59265041	1899907	20728029	57365134	38537012	0.6717845721409803
KCG3	59265041	1427637	9817496	57837404	49447545	0.8549406021058622
KCI6	59265041	1174867	9216566	58090174	50048475	0.8615652450963566
KCI7	59265041	3375593	38646282	55889448	20618759	0.368920426625076
KDC6	59265041	5209897	45241431	54055144	14023610	0.2594315538221487
KDG2	59265041	755585	10866707	58509456	48398334	0.8271882411622491
KEA4	59265041	2266355	33405559	56998686	25859482	0.45368558145357946
KEB4	59265041	1976232	30654003	57288809	28611038	0.49941757385809854
KEB8	59265041	2285682	29335876	56979359	29929165	0.5252632799888114
KEC1	59265041	2251725	28653136	57013316	30611905	0.5369255315723085
KEC2	59265041	3059731	36277207	56205310	22987834	0.4089975484522726
KED6	59265041	3035584	38915641	56229457	20349400	0.3618992799450295
KED7	59265041	2471505	35656472	56793536	23608569	0.4156911272437765
KEE9	59265041	3477415	41224626	55787626	18040415	0.3233766391134837
KEF1	59265041	3044891	39140490	56220150	20124551	0.35795975286440895
KEF2	59265041	1113535	14710501	58151506	44554540	0.766180329018478
KEF3	59265041	3302181	40904723	55962860	18360318	0.3280804090427115
KEH3	59265041	1113135	12346364	58151906	46918677	0.8068295646233848
KFA7	59265041	1410813	11762976	57854228	47502065	0.8210647111218907
KFA9	59265041	1702854	20059523	57562187	39205518	0.6810984787634979
KFD2	59265041	2969254	37392093	56295787	21872948	0.38853614392139146
KFD4	59265041	3116016	38484270	56149025	20780771	0.3701003000497337
KFE8	59265041	3116098	37623788	56148943	21641253	0.385425830723118
KFF1	59265041	2696453	34580335	56568588	24684706	0.4363677240803677
KFF4	59265041	2741048	36352269	56523993	22912772	0.4053636479645024
KFH4	59265041	2826694	35310688	56438347	23954353	0.42443399343357807
KFH5	59265041	2790943	35530465	56474098	23734576	0.420273662449642
KHA4	59265041	2831680	36240697	56433361	23024344	0.407991719649659
