sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
IYA7	60044929	2743812	16854450	57301117	43190479	0.753745847572221
IYA8	60044929	3632534	23496044	56412395	36548885	0.6478874899744994
IZA1	60044929	3256921	17829889	56788008	42215040	0.7433794825132799
IZA2	60044929	3802608	21270802	56242321	38774127	0.6894119287857982
IZA5	60044929	1588769	6943248	58456160	53101681	0.9084018005972339
IZA8	60044929	1203502	5542893	58841427	54502036	0.9262527912519865
IZA9	60044929	1929411	11224208	58115518	48820721	0.840063423335571
IZB2	60044929	1107545	7325018	58937384	52719911	0.8945071433777922
IZC5	60044929	1319681	5101888	58725248	54943041	0.9355948739458708
IZC7	60044929	3505354	19536470	56539575	40508459	0.716462035662631
IZE1	60044929	4580152	15454487	55464777	44590442	0.803941607842397
IZE4	60044929	1606882	10853111	58438047	49191818	0.8417772414605162
IZF1	60044929	3930956	22842880	56113973	37202049	0.6629729996127702
IZH7	60044929	1349522	4150466	58695407	55894463	0.9522800140051845
IZI3	60044929	1621756	7073621	58423173	52971308	0.9066831751846138
IZI7	60044929	3563904	18704637	56481025	41340292	0.7319323967651082
IZI8	60044929	5339057	25562282	54705872	34482647	0.6303280752018723
JAB1	60044929	3671466	18398654	56373463	41646275	0.7387567267244164
JAB7	60044929	5066860	25680179	54978069	34364750	0.6250628773447827
JAE1	60044929	3468359	19398918	56576570	40646011	0.7184248002309083
JAE7	60044929	892693	4584556	59152236	55460373	0.9375870930728637
JAE9	60044929	2023794	11585240	58021135	48459689	0.835207532565504
JAF5	60044929	2917672	17891755	57127257	42153174	0.7378819886276003
JAF7	60044929	1455551	5145648	58589378	54899281	0.9370176450755289
JAF9	60044929	1549618	6016424	58495311	54028505	0.9236382211900711
JAH7	60044929	1808702	11412962	58236227	48631967	0.8350810055053876
JBD5	60044929	3844734	21445402	56200195	38599527	0.6868219407423765
JBD6	60044929	2794127	17658019	57250802	42386910	0.7403723357447464
JBE6	60044929	4039107	19506032	56005822	40538897	0.7238336221544968
JBE7	60044929	1804540	7119671	58240389	52925258	0.9087380580510889
JBE8	60044929	5374941	26230218	54669988	33814711	0.6185242074682731
JBE9	60044929	3576946	21511664	56467983	38533265	0.6823913827416148
JBG3	60044929	4624682	23587939	55420247	36456990	0.6578279956060102
JBH4	60044929	5389738	26717953	54655191	33326976	0.60976780778243
JBH5	60044929	3266604	19347596	56778325	40697333	0.7167758647335933
JCF2	60044929	871707	4402126	59173222	55642803	0.9403375567414598
JDD7	60044929	1478610	6522932	58566319	53521997	0.91386991557383
JDD8	60044929	4316020	22795393	55728909	37249536	0.6684059793813656
JDE3	60044929	3096264	16581483	56948665	43463446	0.7632039486790427
JDE4	60044929	2038408	10648699	58006521	49396230	0.8515633957775196
JDE6	60044929	3007333	14753583	57037596	45291346	0.7940612714462931
JDE7	60044929	3359158	15566253	56685771	44478676	0.784653277451232
JDF3	60044929	4797291	25825750	55247638	34219179	0.6193781352245321
JDF4	60044929	1253799	5593688	58791130	54451241	0.9261812283587677
JDF5	60044929	3076857	17521588	56968072	42523341	0.7464416383970305
JDG4	60044929	5951574	28665211	54093355	31379718	0.5801030089555362
JDI1	60044929	3595889	19074565	56449040	40970364	0.7257938133226004
JDI2	60044929	2121283	12352600	57923646	47692329	0.8233654525131239
JDI4	60044929	2001084	14425947	58043845	45618982	0.7859400423938145
JEB2	60044929	2808923	14598825	57236006	45446104	0.7940124962597844
JEB4	60044929	4527762	21768851	55517167	38276078	0.6894458069159041
JEC7	60044929	1326379	4817892	58718550	55227037	0.9405381604280079
JED2	60044929	1352600	5313263	58692329	54731666	0.9325182171591794
JED4	60044929	3139374	17784493	56905555	42260436	0.7426416630151486
JED5	60044929	1004440	5125863	59040489	54919066	0.9301932780400921
JEG5	60044929	2532411	14710949	57512518	45333980	0.7882454390190323
JEG6	60044929	4768318	25409428	55276611	34635501	0.6265851030556124
JEI4	60044929	4355406	22841348	55689523	37203581	0.6680535044266764
JEI5	60044929	4081865	21968188	55963064	38076741	0.6803905697515061
JEI6	60044929	1535734	9781229	58509195	50263700	0.8590735182734953
JEI8	60044929	1151001	5837283	58893928	54207646	0.9204284353388689
JUA3	60044929	2574930	15316800	57469999	44728129	0.7782865804469563
JUA4	60044929	1408178	6287452	58636751	53757477	0.9167881249082167
JUB6	60044929	4279632	22174805	55765297	37870124	0.6790984005698024
JUB7	60044929	3024042	15625787	57020887	44419142	0.7789977381446206
JUD4	60044929	5625072	27932305	54419857	32112624	0.5900901944670675
JUD5	60044929	1239510	7985229	58805419	52059700	0.8852874596472138
JUH9	60044929	2092227	14077283	57952702	45967646	0.7931924554613519
JUI1	60044929	5290720	27931988	54754209	32112941	0.58649264753327
JVB4	60044929	1502651	8445404	58542278	51599525	0.8814061694011975
JVB8	60044929	1985283	12149093	58059646	47895836	0.8249419226565728
JVC3	60044929	1389283	8709329	58655646	51335600	0.8752030452447834
JVC9	60044929	2208189	14618543	57836740	45426386	0.7854243859525969
JVE1	60044929	6718637	30470775	53326292	29574154	0.5545886070608472
JVF2	60044929	4899354	25865818	55145575	34179111	0.6197978894952133
JVH2	60044929	4430587	22634789	55614342	37410140	0.6726707294316275
JVH3	60044929	7930873	33247410	52114056	26797519	0.5142090456363635
JVH4	60044929	2591462	12816039	57453467	47228890	0.8220372497276797
JVI5	60044929	1894176	8657282	58150753	51387647	0.8836970176465299
JVI9	60044929	2386704	14941070	57658225	45103859	0.7822623571918838
JWA1	60044929	1022060	4949723	59022869	55095206	0.9334552341059531
JWA2	60044929	979885	4290799	59065044	55754130	0.943944611300044
JWA3	60044929	4292817	24026512	55752112	36018417	0.6460457856735544
JWA4	60044929	4741949	25839004	55302980	34205925	0.6185186584882044
JWA5	60044929	1162236	5058296	58882693	54986633	0.9338335289793895
JWA6	60044929	1102185	4404027	58942744	55640902	0.9439822143332859
JWA7	60044929	1298062	8725179	58746867	51319750	0.8735742452444315
JWA8	60044929	9341732	34094703	50703197	25950226	0.5118065040356331
JWA9	60044929	2194652	10632764	57850277	49412165	0.8541387796639245
JWC8	60044929	3973205	23045673	56071724	36999256	0.6598558660332969
JWC9	60044929	1188190	6945896	58856739	53099033	0.9021742268119883
JWD1	60044929	1182310	4260594	58862619	55784335	0.9477039239453481
JWD2	60044929	1200162	4500413	58844767	55544516	0.9439159815179488
JWE3	60044929	3590730	23102195	56454199	36942734	0.654384167243255
JWE7	60044929	2408919	7082002	57636010	52962927	0.9189207753971866
JWE8	60044929	2385714	8793100	57659215	51251829	0.8888749005687989
JWF3	60044929	1273237	5587490	58771692	54457439	0.9265930101178642
JWF4	60044929	1322824	6089485	58722105	53955444	0.9188268029560589
JWF5	60044929	1212741	4600528	58832188	55444401	0.9424160971201683
JWF6	60044929	1296051	5821982	58748878	54222947	0.9229614053224983
JWF7	60044929	1496640	5360767	58548289	54684162	0.9340010260590195
JWF8	60044929	1384933	5568276	58659996	54476653	0.9286849081953569
JWF9	60044929	1162615	5983447	58882314	54061482	0.9181276741263938
JWG1	60044929	2026935	6160971	58017994	53883958	0.9287456232974894
JWG2	60044929	1642382	6287004	58402547	53757925	0.920472269813849
JWG3	60044929	5105622	25357475	54939307	34687454	0.6313777128641248
JWG4	60044929	999751	5089832	59045178	54955097	0.9307296355343361
JWG5	60044929	2609734	17937944	57435195	42106985	0.733121651280195
JWG8	60044929	8031054	34018975	52013875	26025954	0.5003656043699878
JWG9	60044929	1424752	9414081	58620177	50630848	0.8637102545766793
JWH1	60044929	1252694	8366647	58792235	51678282	0.8789984255573886
JWH2	60044929	1163847	7116204	58881082	52928725	0.8989088379863671
JWH3	60044929	1384647	9141310	58660282	50903619	0.8677697628524867
JWH4	60044929	1343426	8797116	58701503	51247813	0.8730238644826521
JWH5	60044929	1407726	9487173	58637203	50557756	0.8622129537795314
JWH6	60044929	1264460	8144502	58780469	51900427	0.8829536048785184
JWH9	60044929	1383066	9235845	58661863	50809084	0.8661348515303716
JWI2	60044929	2403121	15722586	57641808	44322343	0.7689270086739819
JWI3	60044929	1377480	8418159	58667449	51626770	0.8799900264966353
JWI6	60044929	1343920	9124889	58701009	50920040	0.8674474402986838
JXA4	60044929	2466754	15615889	57578175	44429040	0.7716298753824692
JXB5	60044929	1781852	11571346	58263077	48473583	0.831977737804682
JXC1	60044929	2005375	12651288	58039554	47393641	0.8165748654788078
JXD4	60044929	2010967	12410774	58033962	47634155	0.8207979148485502
JXD7	60044929	1483826	8327151	58561103	51717778	0.883142143002327
JXE9	60044929	1912967	9728093	58131962	50316836	0.86556232180844
JXF4	60044929	5329422	26862160	54715507	33182769	0.6064600479714096
JXG8	60044929	1456193	6911903	58588736	53133026	0.9068812476172894
JXH2	60044929	1427834	6554379	58617095	53490550	0.9125418105417882
JXH4	60044929	19719233	49994020	40325696	10050909	0.24924328646429314
JXH5	60044929	1144777	6113376	58900152	53931553	0.9156436981690641
JXI2	60044929	4112435	23094006	55932494	36950923	0.66063428174685
JXI4	60044929	6589755	30836028	53455174	29208901	0.546418593642591
JYD3	60044929	1676844	8048762	58368085	51996167	0.8908321559633146
JYD5	60044929	10486737	39146651	49558192	20898278	0.42169169529025596
JYF7	60044929	2214096	10881492	57830833	49163437	0.8501250016578527
JYG5	60044929	3247094	17253700	56797835	42791229	0.7533954243150289
JYH3	60044929	2196143	11127245	57848786	48917684	0.8456129744883497
JYH7	60044929	4351909	22386211	55693020	37658718	0.6761838018480593
JYI8	60044929	2223966	14689929	57820963	45355000	0.7844040923358541
JZA3	60044929	2584076	15661163	57460853	44383766	0.7724174578473452
JZB7	60044929	5943792	28820884	54101137	31224045	0.5771421218005085
JZD3	60044929	2068630	10499978	57976299	49544951	0.8545725038433378
JZD5	60044929	2283445	13942103	57761484	46102826	0.7981586137918478
JZD6	60044929	1941756	11453467	58103173	48591462	0.8362961864406269
JZE2	60044929	3390180	16573817	56654749	43471112	0.7672986425198001
JZE4	60044929	1842801	6009931	58202128	54034998	0.9284024460411482
JZE6	60044929	2415873	14270202	57629056	45774727	0.7942994415872437
JZE8	60044929	2896580	17029189	57148349	43015740	0.7527031095858955
JZF1	60044929	2534039	15524618	57510890	44520311	0.7741196667274668
JZF2	60044929	1231993	5314984	58812936	54729945	0.9305766506878691
JZF3	60044929	1094246	5148819	58950683	54896110	0.931220932588686
JZF4	60044929	1279498	7004416	58765431	53040513	0.9025801750692511
KAD2	60044929	2342807	14372522	57702122	45672407	0.791520405436736
KAE8	60044929	4354916	23570926	55690013	36474003	0.6549469291738179
KAF1	60044929	3653934	19704824	56390995	40340105	0.7153643059499127
KAF2	60044929	1659633	6715640	58385296	53329289	0.9134027341404589
KAF3	60044929	3622500	18504598	56422429	41540331	0.7362379063829386
KAF4	60044929	3542937	18262074	56501992	41782855	0.7394934854686185
KAF5	60044929	2355400	13724615	57689529	46320314	0.8029241147037273
KAF6	60044929	1916598	10657047	58128331	49387882	0.8496353009000035
KAG3	60044929	1096210	9139715	58948719	50905214	0.8635508093059664
KAG7	60044929	1048468	5020467	58996461	55024462	0.9326739446286447
KAG8	60044929	1003171	4519098	59041758	55525831	0.9404501641024985
KCE5	60044929	4069639	23176817	55975290	36868112	0.6586497720690684
KCE7	60044929	1615960	9316153	58428969	50728776	0.8682127524789972
KCF3	60044929	1164262	4608301	58880667	55436628	0.9415081524127435
KCG2	60044929	1942651	10420167	58102278	49624762	0.8540932250539299
KCG3	60044929	1459343	6122177	58585586	53922752	0.9204098769277481
KCI6	60044929	1202119	5656327	58842810	54388602	0.9243032751155154
KCI7	60044929	3447048	20505626	56597881	39539303	0.6986004122663179
KDC6	60044929	5308220	26252198	54736709	33792731	0.6173687022360076
KDG2	60044929	775730	5597010	59269199	54447919	0.9186545443274845
KEA4	60044929	2319233	16390739	57725696	43654190	0.7562349702981493
KEB4	60044929	2024409	14484760	58020520	45560169	0.7852423418473327
KEB8	60044929	2336580	14468286	57708349	45576643	0.7897755487685153
KEC1	60044929	2300084	14062281	57744845	45982648	0.7963074106441882
KEC2	60044929	3122011	18660557	56922918	41384372	0.7270247811259429
KED6	60044929	3101040	20077182	56943889	39967747	0.70187947647903
KED7	60044929	2527196	17526958	57517733	42517971	0.7392150000070413
KEE9	60044929	3544747	22062765	56500182	37982164	0.6722485247923626
KEF1	60044929	3105959	20311166	56938970	39733763	0.6978307299903739
KEF2	60044929	1142227	7588279	58902702	52456650	0.8905644090826258
KEF3	60044929	3374273	21618048	56670656	38426881	0.6780736930237758
KEH3	60044929	1140269	6821409	58904660	53223520	0.9035536407476081
KFA7	60044929	1444930	6815789	58599999	53229140	0.9083471144769132
KFA9	60044929	1746274	10223436	58298655	49821493	0.8545907791526237
KFD2	60044929	3028909	19262494	57016020	40782435	0.7152802843832312
KFD4	60044929	3179098	20065750	56865831	39979179	0.7030439597374388
KFE8	60044929	3187175	19328052	56857754	40716877	0.7161182800150706
KFF1	60044929	2761114	17159159	57283815	42885770	0.7486542228376375
KFF4	60044929	2799857	18378796	57245072	41666133	0.7278553689302723
KFH4	60044929	2888795	17912843	57156134	42132086	0.7371402341522959
KFH5	60044929	2851626	17943316	57193303	42101613	0.7361283715332895
KHA4	60044929	2901944	18398166	57142985	41646763	0.728816721772585
