DNA Tube ID,Tribe,Genome Sequenced (y/n),Species ID
JWA5,Lamprologini,true,Neovar
JWA6,Lamprologini,true,Neovar
JWA7,Lamprologini,true,Neopec
JWD1,Cyprichromini,true,Pcytem
JWD2,Cyprichromini,true,Pcytem
LJD1,Lamprologini,true,Neocan
IPB6,Tropheini,true,Intloo
IPC1,Tropheini,true,Peteph
IPD6,Lamprologini,true,Lamlem
Z14,Oreochromini,true,Kondik
IPE3,Ectodini,true,Xenbou
IPE7,Ectodini,true,Xenbou
IPF3,Tropheini,true,Intloo
IPF7,Lamprologini,true,Neotet
IPG3,Lamprologini,true,Neotet
Bel33,Trematocarini,true,Trevar
IPH2,Lamprologini,true,Lamcal
IQA3,Lamprologini,true,Neocau
IQA4,Lamprologini,true,Neocau
IQB8,Perissodini,true,Hapmic
IQC1,Cyprichromini,true,Pcybri
IQC4,Perissodini,true,Permic
IQD3,Ectodini,true,Ophven
IQE4,Ectodini,true,Ophven
IQI4,Perissodini,true,Permic
Z02,Oreochromini,true,Koneis
Z04,Oreochromini,true,Punmac
Z05,Oreochromini,true,Sthloh
Z07,Oreochromini,true,Sthste
Z09,Oreochromini,true,Stopin
Z10,Oreochromini,true,Stopin
Z11,Oreochromini,true,Stomar
Z12,Oreochromini,true,Stomar
ISA1,Trematocarini,true,Tremar
ISA3,Trematocarini,true,Tremar
ISA6,Lamprologini,true,Neopul
LJE8,Haplochromini,true,Hplkil
ISA8,Lamprologini,true,Neosav
ISB1,Lamprologini,true,Altcom
ISB3,Lamprologini,true,Neopul
ISB7,Lamprologini,true,Julorn
ISC1,Lamprologini,true,Julorn
ISC9,Lamprologini,true,Altcom
ISD8,Tropheini,true,Loblab
ISE5,Tropheini,true,Loblab
IUF7,Ectodini,true,Xensim
IUF8,Ectodini,true,Xensim
IYA4,Lamprologini,true,Neosav
IYA5,Tropheini,true,Peteph
IYA6,Tropheini,true,Petfam
IYA7,Tropheini,true,Petfam
IZI8,Lamprologini,true,Neochr
JAB1,Lamprologini,true,Lamcal
IZI3,Eretmodini,true,Erecya
JDD7,Ectodini,true,Gralem
JDD8,Ectodini,true,Gralem
LBA1,Lamprologini,true,JulmaS
LBF3,Lamprologini,true,JulmaS
JWE6,Coptodini,true,Copren
LDF4,Lamprologini,true,NeofuU
LDF5,Lamprologini,true,NeofuU
LDG2,Lamprologini,true,NeocaK
LDG3,Lamprologini,true,NeocaK
LGG6,Lamprologini,true,Chacya
LGG7,Lamprologini,true,Chacya
LGH1,Ectodini,true,Ophwhi
LGH3,Ectodini,true,Ophwhi
LGH8,Lamprologini,true,Neopet
LGI1,Lamprologini,true,Neopet
LHA2,Lamprologini,true,LepmeK
LHA5,Lamprologini,true,LepmeK
LHB1,Tropheini,true,Pettex
LHF2,Lamprologini,true,TeldhT
LGE2,Lamprologini,true,Neotim
LGE3,Lamprologini,true,Neotim
LJC8,Trematocarini,true,Trecap
AXB5,Ectodini,true,Xenspi
BND3,Ectodini,true,Calmac
AXH8,Ectodini,true,Ophnas
AVG5,Lamprologini,true,Lepatt
AWE2,Tropheini,true,Gnapfe
AUE6,Lamprologini,true,Lepelo
AWB7,Tropheini,true,Gnapfe
AUE7,Lamprologini,true,Altfas
AVA8,Tropheini,true,Ctehor
AVA9,Lamprologini,true,Chabri
BNC5,Ectodini,true,Enamel
AYC7,Tropheini,true,Psccur
AVB2,Lamprologini,true,Chabri
AUG8,Lamprologini,true,Lepelo
AXH6,Ectodini,true,Ophnas
AYE5,Ectodini,true,Cyafur
AWB9,Tropheini,true,Petpol
AWC5,Ectodini,true,Enamel
AVH2,Ectodini,true,Cyafur
DMD1,Cyphotilapiini,true,Cteben
AWI4,Tropheini,true,Petpol
AWI5,Tropheini,true,Limdar
AWI6,Tropheini,true,Limdar
AUB6,Tropheini,true,Simple
A142,Lamprologini,true,Neohec
HXC4,Haplochromini,true,HplspC
HXC5,Haplochromini,true,HplspC
HXC6,Haplochromini,true,Ortcho
HXC7,Haplochromini,true,Ortcho
LJC9,Lamprologini,true,Neocan
Bel01,Ectodini,true,Xenkil
Bel03,Ectodini,true,Xenkil
Bel06,Ectodini,true,Ophhet
Bel07,Lamprologini,true,Chapop
Bel12,Ectodini,true,Ophhet
Bel13,Lamprologini,true,Neohec
Bel14,Lamprologini,true,Neohec
Bel16,Cyprichromini,true,Cypkib
Bel18,Cyprichromini,true,Cypkib
AUD8,Tropheini,true,Simdia
ILG3,Benthochromini,true,Benmel
ITD7,Bathybatini,true,Batvit
JWF8,Haplochromini,true,Thobra
Z19,Oreochromini,true,Sthlin
LHD9,Tropheini,true,Tromor
LHE3,Tropheini,true,Tromor
JWF9,Gobiocichlini,true,Tilbre
JWD9,Geophagini,true,Apidip
A206,Ectodini,true,XenpaK
JWA3,Lamprologini,true,LamorC
JWI3,Lamprologini,true,Neolon
JWH9,Lamprologini,true,NeoleL
LJC3,Lamprologini,true,Neonve
LCD5,Tropheini,true,Petred
JWD4,Etroplini,true,Etrcan
LFB7,Lamprologini,true,Neoese
HFG1287,Lamprologini,true,Jultra
IZI7,Lamprologini,true,Lamlem
JAF7,Ectodini,true,Xenfla
JAF9,Ectodini,true,Xenfla
LHB3,Tropheini,true,Pettex
LHC1,Lamprologini,true,TeldhT
KYB9,Lamprologini,true,Neobou
LJD3,Lamprologini,true,Neospl
JWA8,Lamprologini,true,Lammel
JWC8,Lamprologini,true,Tellon
